index,id,name,label,region
0,65438,Employee_65438,Sales & Marketing,region_7
1,65141,Employee_65141,Operations,region_22
2,7513,Employee_7513,Sales & Marketing,region_19
3,2542,Employee_2542,Sales & Marketing,region_23
4,48945,Employee_48945,Technology,region_26
5,58896,Employee_58896,Analytics,region_2
6,20379,Employee_20379,Operations,region_20
7,16290,Employee_16290,Operations,region_34
8,73202,Employee_73202,Analytics,region_20
9,28911,Employee_28911,Sales & Marketing,region_1
10,29934,Employee_29934,Technology,region_23
11,49017,Employee_49017,Sales & Marketing,region_7
12,60051,Employee_60051,Sales & Marketing,region_4
13,38401,Employee_38401,Technology,region_29
14,77040,Employee_77040,R&D,region_2
15,43931,Employee_43931,Operations,region_7
16,7152,Employee_7152,Technology,region_2
17,9403,Employee_9403,Sales & Marketing,region_31
18,17436,Employee_17436,Sales & Marketing,region_31
19,54461,Employee_54461,Operations,region_15
20,12067,Employee_12067,Procurement,region_14
21,33332,Employee_33332,Operations,region_15
22,58789,Employee_58789,Finance,region_11
23,71177,Employee_71177,Procurement,region_5
24,52057,Employee_52057,Finance,region_22
25,26585,Employee_26585,Technology,region_22
26,37749,Employee_37749,Procurement,region_26
27,2370,Employee_2370,Technology,region_26
28,8219,Employee_8219,Analytics,region_5
29,74759,Employee_74759,Sales & Marketing,region_4
30,27395,Employee_27395,Procurement,region_15
31,58536,Employee_58536,Finance,region_31
32,35465,Employee_35465,Sales & Marketing,region_7
33,51756,Employee_51756,Operations,region_2
34,57011,Employee_57011,Analytics,region_22
35,77064,Employee_77064,Sales & Marketing,region_22
36,64062,Employee_64062,Technology,region_28
37,47123,Employee_47123,Sales & Marketing,region_7
38,56275,Employee_56275,Sales & Marketing,region_1
39,58304,Employee_58304,Sales & Marketing,region_28
40,25014,Employee_25014,Technology,region_15
41,40097,Employee_40097,Operations,region_2
42,23560,Employee_23560,HR,region_2
43,17423,Employee_17423,Sales & Marketing,region_2
44,61758,Employee_61758,Analytics,region_2
45,75009,Employee_75009,Procurement,region_17
46,17876,Employee_17876,Procurement,region_13
47,36924,Employee_36924,Technology,region_16
48,50408,Employee_50408,Sales & Marketing,region_20
49,18013,Employee_18013,Procurement,region_2
50,24104,Employee_24104,Finance,region_2
51,32083,Employee_32083,Sales & Marketing,region_25
52,38330,Employee_38330,Procurement,region_15
53,33690,Employee_33690,HR,region_22
54,73161,Employee_73161,Operations,region_22
55,13596,Employee_13596,Analytics,region_31
56,45709,Employee_45709,Sales & Marketing,region_31
57,32709,Employee_32709,R&D,region_22
58,26599,Employee_26599,Sales & Marketing,region_16
59,32656,Employee_32656,Sales & Marketing,region_19
60,17673,Employee_17673,Sales & Marketing,region_4
61,3113,Employee_3113,Sales & Marketing,region_29
62,9150,Employee_9150,Analytics,region_22
63,14107,Employee_14107,Sales & Marketing,region_1
64,58747,Employee_58747,R&D,region_26
65,3342,Employee_3342,Operations,region_13
66,77981,Employee_77981,Finance,region_22
67,16502,Employee_16502,Sales & Marketing,region_22
68,73729,Employee_73729,Procurement,region_10
69,45624,Employee_45624,Analytics,region_31
70,75677,Employee_75677,Operations,region_22
71,24040,Employee_24040,Technology,region_22
72,68082,Employee_68082,Sales & Marketing,region_2
73,51786,Employee_51786,Sales & Marketing,region_16
74,77577,Employee_77577,Sales & Marketing,region_7
75,54782,Employee_54782,Sales & Marketing,region_2
76,52368,Employee_52368,Sales & Marketing,region_27
77,75103,Employee_75103,Sales & Marketing,region_30
78,7520,Employee_7520,Analytics,region_2
79,59147,Employee_59147,Sales & Marketing,region_22
80,53092,Employee_53092,Technology,region_2
81,34564,Employee_34564,Operations,region_4
82,66013,Employee_66013,Sales & Marketing,region_2
83,77135,Employee_77135,R&D,region_22
84,44575,Employee_44575,Legal,region_7
85,47498,Employee_47498,Operations,region_11
86,20798,Employee_20798,HR,region_20
87,69094,Employee_69094,Sales & Marketing,region_2
88,22261,Employee_22261,Procurement,region_7
89,9589,Employee_9589,Sales & Marketing,region_31
90,62658,Employee_62658,Sales & Marketing,region_2
91,21628,Employee_21628,Analytics,region_12
92,68484,Employee_68484,Procurement,region_2
93,44523,Employee_44523,HR,region_2
94,35420,Employee_35420,Operations,region_2
95,43923,Employee_43923,Analytics,region_14
96,64109,Employee_64109,Technology,region_26
