id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted,name
65438,Sales & Marketing,region_7,Master's & above,f,sourcing,1,35,5,8,1,0,49,0,employee_65438
65141,Operations,region_22,Bachelor's,m,other,1,30,5,4,0,0,60,0,employee_65141
7513,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,34,3,7,0,0,50,0,employee_7513
2542,Sales & Marketing,region_23,Bachelor's,m,other,2,39,1,10,0,0,50,0,employee_2542
48945,Technology,region_26,Bachelor's,m,other,1,45,3,2,0,0,73,0,employee_48945
58896,Analytics,region_2,Bachelor's,m,sourcing,2,31,3,7,0,0,85,0,employee_58896
20379,Operations,region_20,Bachelor's,f,other,1,31,3,5,0,0,59,0,employee_20379
16290,Operations,region_34,Master's & above,m,sourcing,1,33,3,6,0,0,63,0,employee_16290
73202,Analytics,region_20,Bachelor's,m,other,1,28,4,5,0,0,83,0,employee_73202
28911,Sales & Marketing,region_1,Master's & above,m,sourcing,1,32,5,5,1,0,54,0,employee_28911
29934,Technology,region_23,,m,sourcing,1,30,,1,0,0,77,0,employee_29934
49017,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,35,5,3,1,0,50,1,employee_49017
60051,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,49,5,5,1,0,49,0,employee_60051
38401,Technology,region_29,Master's & above,m,other,2,39,3,16,0,0,80,0,employee_38401
77040,R&D,region_2,Master's & above,m,sourcing,1,37,3,7,0,0,84,0,employee_77040
43931,Operations,region_7,Bachelor's,m,other,1,37,1,10,0,0,60,0,employee_43931
7152,Technology,region_2,Bachelor's,m,other,1,38,3,5,1,0,77,0,employee_7152
9403,Sales & Marketing,region_31,Bachelor's,m,other,1,34,1,4,0,0,51,0,employee_9403
17436,Sales & Marketing,region_31,Bachelor's,m,other,1,34,5,8,1,0,46,0,employee_17436
54461,Operations,region_15,Bachelor's,m,other,1,37,3,9,0,0,59,0,employee_54461
12067,Procurement,region_14,Bachelor's,m,other,1,35,3,7,0,0,75,0,employee_12067
33332,Operations,region_15,,m,sourcing,1,41,4,11,0,0,57,0,employee_33332
58789,Finance,region_11,Bachelor's,f,other,1,28,3,4,0,0,63,0,employee_58789
71177,Procurement,region_5,Bachelor's,m,other,1,27,,1,0,0,70,0,employee_71177
52057,Finance,region_22,Master's & above,m,sourcing,2,39,5,7,0,0,59,0,employee_52057
26585,Technology,region_22,Bachelor's,m,other,1,27,5,3,1,0,83,0,employee_26585
37749,Procurement,region_26,Bachelor's,m,other,1,31,5,4,1,0,68,0,employee_37749
2370,Technology,region_26,Bachelor's,m,other,1,33,4,4,0,0,79,0,employee_2370
8219,Analytics,region_5,Bachelor's,m,other,1,29,5,3,1,0,80,0,employee_8219
74759,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,26,,1,0,0,44,0,employee_74759
27395,Procurement,region_15,Bachelor's,m,sourcing,1,37,5,10,1,0,72,0,employee_27395
58536,Finance,region_31,Bachelor's,m,other,2,26,1,2,0,0,61,0,employee_58536
35465,Sales & Marketing,region_7,,f,sourcing,1,24,1,2,0,0,48,0,employee_35465
51756,Operations,region_2,Bachelor's,m,sourcing,2,57,4,6,0,0,58,0,employee_51756
57011,Analytics,region_22,Bachelor's,m,other,2,27,5,3,1,0,87,0,employee_57011
77064,Sales & Marketing,region_22,Bachelor's,m,other,1,40,2,4,1,0,47,0,employee_77064
64062,Technology,region_28,Bachelor's,m,sourcing,1,33,4,4,1,0,75,0,employee_64062
47123,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,40,5,3,0,0,47,0,employee_47123
56275,Sales & Marketing,region_1,Master's & above,m,other,1,42,5,5,1,0,51,0,employee_56275
58304,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,33,5,6,1,0,51,1,employee_58304
25014,Technology,region_15,Bachelor's,m,other,1,34,3,10,0,0,80,0,employee_25014
40097,Operations,region_2,Bachelor's,f,other,2,23,4,2,1,0,57,0,employee_40097
23560,HR,region_2,Bachelor's,m,sourcing,1,59,4,26,1,0,52,0,employee_23560
17423,Sales & Marketing,region_2,,m,other,3,24,2,2,0,0,48,0,employee_17423
61758,Analytics,region_2,Bachelor's,m,other,1,44,5,12,0,0,88,0,employee_61758
75009,Procurement,region_17,Bachelor's,f,sourcing,1,50,5,11,0,0,71,0,employee_75009
17876,Procurement,region_13,Master's & above,f,other,1,37,4,4,0,0,71,0,employee_17876
36924,Technology,region_16,Bachelor's,m,sourcing,1,40,3,11,0,0,80,0,employee_36924
50408,Sales & Marketing,region_20,Bachelor's,m,sourcing,1,30,3,3,1,0,49,0,employee_50408
18013,Procurement,region_2,Master's & above,f,sourcing,1,56,3,12,0,0,73,0,employee_18013
24104,Finance,region_2,Bachelor's,m,sourcing,1,20,4,2,1,0,60,0,employee_24104
32083,Sales & Marketing,region_25,Bachelor's,f,sourcing,1,31,3,8,0,0,48,0,employee_32083
38330,Procurement,region_15,Bachelor's,m,sourcing,1,40,3,12,1,0,65,0,employee_38330
33690,HR,region_22,Bachelor's,m,other,1,30,1,6,0,0,50,0,employee_33690
73161,Operations,region_22,Bachelor's,m,other,1,39,3,5,1,0,62,0,employee_73161
13596,Analytics,region_31,Bachelor's,m,other,2,26,2,2,0,0,85,0,employee_13596
45709,Sales & Marketing,region_31,Bachelor's,f,other,1,29,,1,0,0,49,0,employee_45709
32709,R&D,region_22,Master's & above,m,sourcing,1,40,3,5,1,0,84,0,employee_32709
26599,Sales & Marketing,region_16,Bachelor's,m,other,2,27,,1,1,0,47,0,employee_26599
32656,Sales & Marketing,region_19,Bachelor's,m,other,1,40,4,7,0,0,52,0,employee_32656
17673,Sales & Marketing,region_4,Master's & above,m,other,1,50,4,17,1,0,47,1,employee_17673
3113,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,25,3,3,0,0,53,0,employee_3113
9150,Analytics,region_22,Bachelor's,f,other,1,28,,1,1,0,80,0,employee_9150
14107,Sales & Marketing,region_1,Master's & above,m,sourcing,1,35,4,2,1,0,52,0,employee_14107
58747,R&D,region_26,Bachelor's,m,other,1,34,5,5,0,0,87,0,employee_58747
3342,Operations,region_13,Master's & above,f,sourcing,1,31,3,3,1,0,58,0,employee_3342
77981,Finance,region_22,Bachelor's,m,other,1,27,,1,1,1,58,1,employee_77981
16502,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,27,,1,0,0,61,1,employee_16502
73729,Procurement,region_10,Bachelor's,m,other,1,30,4,6,1,0,75,0,employee_73729
45624,Analytics,region_31,Bachelor's,m,other,1,30,3,7,1,0,84,1,employee_45624
75677,Operations,region_22,Bachelor's,f,other,1,50,5,5,1,0,59,0,employee_75677
24040,Technology,region_22,Master's & above,m,other,1,34,5,7,1,0,78,1,employee_24040
68082,Sales & Marketing,region_2,Master's & above,f,sourcing,1,41,1,12,0,0,52,0,employee_68082
51786,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,32,4,6,0,0,44,0,employee_51786
77577,Sales & Marketing,region_7,Bachelor's,m,other,1,50,3,14,0,0,52,0,employee_77577
54782,Sales & Marketing,region_2,Master's & above,m,sourcing,1,38,4,2,1,0,49,1,employee_54782
52368,Sales & Marketing,region_27,Bachelor's,m,sourcing,2,29,1,5,0,0,51,0,employee_52368
75103,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,4,3,1,0,53,0,employee_75103
7520,Analytics,region_2,Bachelor's,m,other,1,25,3,2,1,0,91,0,employee_7520
59147,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,30,3,3,0,0,58,1,employee_59147
53092,Technology,region_2,Bachelor's,m,referred,1,47,3,7,0,0,79,0,employee_53092
34564,Operations,region_4,Master's & above,m,sourcing,1,35,2,7,0,0,53,0,employee_34564
66013,Sales & Marketing,region_2,,m,sourcing,2,25,3,2,0,0,53,0,employee_66013
77135,R&D,region_22,Bachelor's,m,other,1,36,4,8,0,0,82,0,employee_77135
44575,Legal,region_7,Bachelor's,m,other,1,29,,1,0,0,65,1,employee_44575
47498,Operations,region_11,Master's & above,f,sourcing,1,42,5,11,1,0,60,1,employee_47498
20798,HR,region_20,Bachelor's,f,sourcing,1,28,2,6,0,0,52,0,employee_20798
69094,Sales & Marketing,region_2,,m,sourcing,1,39,1,9,0,0,49,0,employee_69094
22261,Procurement,region_7,Master's & above,m,sourcing,1,32,5,3,1,0,69,1,employee_22261
9589,Sales & Marketing,region_31,Bachelor's,f,other,1,31,,1,0,0,51,0,employee_9589
62658,Sales & Marketing,region_2,,f,sourcing,1,20,,1,0,0,55,0,employee_62658
21628,Analytics,region_12,Bachelor's,m,other,1,34,3,8,0,0,85,0,employee_21628
68484,Procurement,region_2,Master's & above,m,sourcing,2,46,4,3,1,0,74,0,employee_68484
44523,HR,region_2,Master's & above,m,other,1,47,3,7,0,0,44,0,employee_44523
35420,Operations,region_2,Bachelor's,f,other,1,44,4,13,0,0,53,0,employee_35420
43923,Analytics,region_14,Bachelor's,m,sourcing,1,31,4,4,1,0,86,0,employee_43923
64109,Technology,region_26,Bachelor's,f,sourcing,1,23,,1,0,0,77,0,employee_64109
41983,Operations,region_2,Bachelor's,f,sourcing,1,33,3,5,0,0,57,0,employee_41983
21440,Sales & Marketing,region_31,Bachelor's,m,other,1,41,3,12,1,0,52,0,employee_21440
51256,Finance,region_2,Master's & above,m,other,1,60,5,17,0,0,59,0,employee_51256
66635,Operations,region_15,Bachelor's,m,other,1,31,5,4,1,0,63,1,employee_66635
16027,Operations,region_26,Bachelor's,f,other,1,37,3,11,0,0,57,0,employee_16027
46020,Analytics,region_7,Bachelor's,m,sourcing,2,39,3,4,1,0,83,0,employee_46020
28509,Sales & Marketing,region_7,Bachelor's,m,other,1,40,5,8,1,0,54,0,employee_28509
